"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.755945000E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
5.253705400E-2,-3.174359351E-2,2.749967575E-2,-1.315412521E-1,1.380832680E-1
5.751465800E-2,-1.177523285E-1,8.165669441E-2,-3.282146454E-1,3.581316519E-1
6.249226200E-2,-1.578268111E-1,1.126236916E-1,-5.343809128E-1,5.684684320E-1
6.746986600E-2,-2.210370600E-1,1.835277081E-1,-7.481222153E-1,8.013904482E-1
7.244747100E-2,-2.526681125E-1,2.029860020E-1,-9.153504372E-1,9.710360008E-1
7.742512700E-2,-1.698498428E-1,1.936025620E-1,-1.027379036E0,1.059168827E0
8.240273100E-2,-1.554243863E-1,3.227047920E-1,-1.050569057E0,1.109950660E0
8.738033500E-2,-1.509608477E-1,4.014499187E-1,-9.454722404E-1,1.038204687E0
9.235793900E-2,-6.613592803E-2,4.486036301E-1,-8.565664291E-1,9.691879206E-1
9.733554300E-2,-1.760479808E-2,4.844813347E-1,-8.523373604E-1,9.805667078E-1
1.023131480E-1,6.040957570E-2,4.857139587E-1,-7.945871353E-1,9.332395631E-1
1.072908040E-1,1.941667795E-1,4.785933495E-1,-6.765995026E-1,8.511986955E-1
1.122683560E-1,2.521818280E-1,4.746315479E-1,-5.918378830E-1,7.994641083E-1
1.172460120E-1,2.821540236E-1,4.511303902E-1,-5.703740120E-1,7.800359194E-1
1.222236160E-1,2.863546014E-1,3.840677738E-1,-3.876042366E-1,6.162337680E-1
1.272012210E-1,3.302328885E-1,2.707459927E-1,-1.505203247E-1,4.527841885E-1
1.321788250E-1,3.735969663E-1,1.760432720E-1,6.955003738E-2,4.188115740E-1
1.371564290E-1,3.850115538E-1,3.465247154E-2,3.543729782E-1,5.244186286E-1
1.421340330E-1,4.575337172E-1,-1.522774696E-1,6.773872375E-1,8.314920322E-1
1.471116370E-1,5.048809052E-1,-3.381495476E-1,1.038409233E0,1.203139053E0
1.520892930E-1,5.656213760E-1,-4.303941727E-1,1.297854424E0,1.479727269E0
1.570668980E-1,6.604075432E-1,-4.840183258E-1,1.454215050E0,1.668877849E0
1.620445020E-1,7.945394516E-1,-5.467314720E-1,1.470856667E0,1.758871108E0
1.670221060E-1,8.719438910E-1,-5.565276146E-1,1.438430309E0,1.771747976E0
1.719997100E-1,8.719319105E-1,-5.802927017E-1,1.455426216E0,1.793117494E0
1.769773140E-1,7.994583845E-1,-5.926659107E-1,1.457831383E0,1.765122922E0
1.819549180E-1,7.139191628E-1,-5.876326561E-1,1.402366638E0,1.679769299E0
